movieId,rating,title,release_date
1189,5.0,Prefontaine (1997),24-Jan-1997
1500,5.0,Santa with Muscles (1996),08-Nov-1996
1201,5.0,Marlene Dietrich: Shadow and Light (1996) ,02-Apr-1996
1293,5.0,Star Kid (1997),16-Jan-1998
1653,5.0,Entertaining Angels: The Dorothy Day Story (1996),27-Sep-1996
1122,5.0,They Made Me a Criminal (1939),01-Jan-1939
814,5.0,"Great Day in Harlem, A (1994)",01-Jan-1994
1467,5.0,"Saint of Fort Washington, The (1993)",01-Jan-1993
1536,5.0,Aiqing wansui (1994),22-Jul-1996
1599,5.0,Someone Else's America (1995),10-May-1996
